	Add G, W or R to your mana pool until end of turn.	Skyshroud Elf	
	Target creature you control gets +1/+2 until end of combat as long as an opponent controls a nonbasic land.	Skyshroud Elite	
	White creatures have flying and vigilance this combat.	Skyshroud Falcon	
	You may put a land card from your hand onto the battlefield under your control.	Skyshroud Ranger	
	Regenerate target creature in combat.	Skyshroud Troll	
	Discard a creature card. Target creature in combat gets +2/+2 until end of turn.	Skyshroud Vampire	
	If target attacker is blocked this combat, it gets +2/+2 this turn.	Slashing Tiger	
	Discard your hand. Draw a card for each creature you control.	Slate of Ancestry	
	Gain control of target creature. Untap that creature. It gains haste until end of turn. Sacrifice it at the beginning of the next end step. Attackers and blockers may be reassigned.	Slave of Bolas	
	Destroy target green creature in combat. It can't be regenerated. Draw a card.	Slay	
1	Give one of your creatures to target opponent. Chaos deals 2 damage for each creature controlled by that opponent. Blockers may be reassigned.	Sleeper Agent	
	Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.	Sleight of Hand	
	Change the text of target permanent by replacing all instances of one color word with another. (For example, you may change "target black spell" to "target blue spell.") (This effect doesn't end at end of turn.) 	Sleight of Mind	
	Forests have cycling 2 this combat.	Slippery Karst	
	Destroy target artifact. Draw a card.	Smash	
	Tap all creatures in play. Each player chooses one creature they control. Untap that creature. Attackers and blockers may be reassigned.	Smoke	
	Mountains have cycling 2 this combat.	Smoldering Crater	
	Sacrifice a permanent. Create a number of 1/1 green Snake creature tokens equal to the mana value of the sacrificed permanent. Blockers may be reassigned.	Snake Basket	
	Create a 3/2 blue Drake creature token with flying. Blockers may be reassigned.	Snapping Drake	
	Target creature in combat can't block or be blocked by creatures with power 2 or greater this combat.	Sneaky Homunculus	
	Target creature in combat has flying this combat. Target blocker has first strike this combat as long as it's controller controls a snow land.	Snow Devil	
	Target creature you control in combat gets +1/+0 this combat for each land you control. Target creature you control in combat gets +0/+1 this turn for each land you control. Chaos deals 1 damage for every three lands you control to creatures without flying that attack you this combat.	Snow Fortress	
	Tap a creature you control. Return the tapped creature and target blue or green creature you control to their owner's hand.	Snow Hound	
	Target creature in combat gets -X/-Y this combat. If its attacking, X is the number of snow lands defending player controls. Otherwise, X is the number of snow lands its controller controls. Y is equal to X or to the creature's toughness minus 1, whichever is smaller.	Snowblind	
	Whenever an Island is tapped for mana this combat, its controller may add U to his or her mana pool. If that Island is snow, its controller may add UU to his or her mana pool instead.	Snowfall	
	Target creature in combat gets +0/+1 and has flying this turn.	Soar	
	Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Add one mana of the rolled color to your mana pool.	Sol Grail	
	Add 2 to your mana pool. This mana doesn't empty until end of turn.	Sol Ring	
	Sacrifice a black or artifact creature. Add an amount of black mana equal to the sacrificed creature's converted mana cost to your mana pool.	Soldevi Adnate	
	Put the top 1d6 cards of your graveyard on the bottom of your library.	Soldevi Digger	
	Look at the top card of your library. You may put that card on the bottom of your library.	Soldevi Excavations	
	Untap target tapped creature an opponent controls. Untap target creature you control.	Soldevi Golem	
	Prevent the next 2 damage that would be dealt to target creature in combat. Target opponent draws a card.	Soldevi Heretic	
	Add 2 to your mana pool. Spend this mana only to play activated abilities of artifacts.	Soldevi Machinist	
	Sacrifice two lands. Draw three cards, then discard one of them.	Soldevi Sage	
	Regenerate target creature in combat. Target opponent draws a card.	Soldevi Sentry	
	Target creature in combat gets +1/+0 this combat for each land you control.	Soldevi Simulacrum	
	Target opponent gains 2 life. Regenerate a creature in combat.	Soldevi Steam Beast	
	Target player shuffles his or her library.	Soldier of Fortune	
	Target player whose turn it is returns a land to their hand and can't play lands this turn. Draw a card.	Solfatara	
	Creatures in combat have +0/+5 this turn.	Solidarity	
	Target player reveals their hand. Gain life equal to the number of black cards revealed this way.	Sol'kanar the Swamp King	
	Target creature in combat has shadow and +1/+0 for each plains you control. Blockers may be reassigned.	Soltari Crusader	
	Each player involved in combat who controls a Plains gives target creature they control shadow this combat. Blockers may be reassigned.	Soltari Emissary	
	Target creature in combat gets shadow this combat. Blockers may be reassigned.	Soltari Foot Soldier	
	The next time target attacking creature would deal combat damage to a player this combat, it deals that damage to target creature instead.	Soltari Guerrillas	
	Target attacking creature has shadow and first strike this combat. Blockers may be reassigned.	Soltari Lancer	
	Target creature in combat has shadow and protection from black. Blockers may be reassigned.	Soltari Monk	
	Target creature in combat has shadow and protection from red. Blockers may be reassigned.	Soltari Priest	
	Target attacking creature has shadow and +1/+1 this turn. Blockers may be reassigned.	Soltari Trooper	
	Put the top four cards of your library into your graveyard. Attacking creatures get +1/+0 this combat for each creature card put into your graveyard this way.	Song of Blood	
	Add B to your mana pool for each creature card in your graveyard.	Songs of the Damned	
	Prevent all combat damage that would be dealt this combat by target attacking creature with flying.	Songstitcher	
	Discard a card at random. Chaos deals 4 damage to target creature or player.	Sonic Burst	
	Bird creatures get +1/+1 this combat. Target Bird creature gains banding this combat.	Soraya the Falconer	
	Target creature in combat has base power and toughness 0/2 until end of turn.	Sorceress Queen	
	Draw a card. Look at target opponent's hand.	Sorcerous Sight	
	Choose two untapped creatures not in combat controlled by a defender. These two creatures must block all creatures that they can this combat. Chaos deals 2 damage to you and 2 damage to each creature you control in combat.	Sorrow's Path	
	Before playing any spell, if a copy of that spell card is in any graveyard, the spell's caster may say "Sorry." If he or she does not, any other player may counter the spell by saying "Sorry" as it is cast. If any player says "Sorry" at any other time, Chaos deals 2 damage to that player. This effect is over at the end of this combat.	Sorry	
	If you control a creature, Chaos deals 2 damage to you unless you pay 2.	Soul Barrier	
	Chaos deals 1d6 damage to target creature or player. You gain life equal to the damage dealt, but not more than the  player's life total before Chaos dealt damage, or the creature's toughness.	Soul Burn	
	Put 1d6 Chaos Counters onto the battlefield. As long as you control a Chaos Counter, you don't lose the game for having 0 or less life. For each 1 damage that would be dealt to you this combat, remove 1 Chaos Counter from the game instead. At end of combat, remove all Chaos Counters from the game.	Soul Echo	
	Remove a creature you control from the game. Return target creature card from your graveyard to play. Put a +2/+2 counter on that creature if the removed creature was black.	Soul Exchange	
	Target player loses 4 life and you gain 4 life.	Soul Feast	
	Pay 1d6 life. Target creature gets +2/+2 this turn for each life lost this way.	Soul Kiss	
	Choose one or both — Creature spells are countered until end of turn; and/or Return target creature card from your graveyard to your hand. This effect may not be responded to.	Soul Manipulation	
	Whenever a creature dies this combat, you may gain 1 life.	Soul Net	
	Destroy target creature white creature in combat. It can't be regenerated. Draw a card.	Soul Rend	
	Remove 1d6 creature cards in your graveyard from the game. You gain 1d6 life.	Soul Shepherd	
	Chaos deals 3 damage to target nonblack creature in combat. You gain 3 life.	Soul Shred	
	Gain 1 life for each creature in combat.	Soul Warden	
1	Sacrifice all creatures you control in combat. Chaos deals damage to target creature or player equal to the total power of the sacrificed creatures.	Soulblast	
	Pay 3 life. Put a +1/+1 counter on target creature in combat.	Souldrinker	
1	Return all creatures on the battlefield and all creature cards in graveyards to their owners' hands.	Soulquake	
	Target creature in combat gets +X/+0 this combat, where X is the number of creature cards in its controllers graveyard. Its controller sacrifices that creature at end of combat.	Soulshriek	
	Create a 3/4 green Elephant creature token. Blockers may be reassigned.	Southern Elephant	
	Destroy target red permanent.	Southern Paladin	
	If there is only one attacker, you may search your library for an Aura card that could enchant a creature, put it onto the battlefield attached to a creature you control, then shuffle your library. Exalted.	Sovereigns of Lost Alara	
	Target creature has trample. At end of combat, it is sacrificed.	Spark Elemental	
	Roll 2d6. On a total of 2, 3, or 12, sacrifice a creature. On a total of 7 or 11, stop rolling. Roll 2d6 dice again. On a total of 7, sacrifice a creature. On any other roll, there is no effect.	Spark Fiend	
	Pay 1 life. Permanents can't phase out this combat.	Spatial Binding	
	Sacrifice a permanent. Put onto the battlefield from your hand any card from a set not already in play.	Spatula of the Ages	
	Target land becomes a 1/1 black Skeleton creature with "1: Regenerate" until end of turn. It's still a land. Attackers and blockers may be reassigned.	Spawning Pool	
	Tap and remove target attacking creature from combat if the defending player controls no black nontoken permanents.	Spectral Bears	
	Target creature in combat has shroud this combat as long as it's untapped.	Spectral Cloak	
1	Noncreature artifacts you control have shroud this combat as long as you control an untapped creature.	Spectral Guardian	
	Target creature in combat gets +0/+2 and can't be the target of spells this turn.	Spectral Shield	
	Until end of turn, spells are countered unless the caster pays the casting cost of the spell twice.	Spell Blast	
	Draw cards up to your maximum hand size.	Spellbook	
	Draw a card, then discard a card. Target attacking creature gets +X/+0 this combat, where X is the discarded card's mana value.	Spellbound Dragon	
	Return all creatures with power less than 5 to their owners hands.	Spellbreaker Behemoth	
	Create a 6/6 white, blue, and black Sphinx creature token with flying, first strike, vigilance, lifelink, protection from red, and from green. Blockers may be reassigned.	Sphinx of the Steel Wind	
	Target blocker gets +0/+3 and has reach this turn.	Spider Climb	
	Put four +1/+1 counters on a creature in combat. Remove a +1/+1 counter from a creature in combat. Put a +1/+1 counter on target creature in combat.	Spike Colony	
	Put a +1/+1 counter on a creature in combat. Remove a +1/+1 counter from a creature in combat. Put a +1/+1 counter on target creature in combat.	Spike Drone	
	Put two +1/+1 counters on a creature in combat. Choose one - Remove a +1/+1 counter from a creature in combat and put it on a different creature in combat; or Remove a +1/+1 counter from a creature in combat and gain 2 life.	Spike Feeder	
	Put three +1/+1 counters on a creature in combat. Choose one - Remove a +1/+1 counter from a creature in combat and put it on a different creature in combat; or Remove a +1/+1 counter from a creature in combat and prevent all combat damage that would be dealt this combat.	Spike Weaver	
	Put two +1/+1 counters on a creature in combat. Remove a +1/+1 counter from a creature in combat and put it on a different creature in combat.	Spike Worker	
	Sacrifice a creature. Target player discards a card at random unless they pay 1.	Spiketail Hatchling	
	Target creature in combat has +3/+3. Whenever that creature becomes the target of a spell or ability this combat, destroy it. It can't be regenerated. 	Spinal Graft	
	Destroy target blue creature.	Spinal Villain	
	Create a 5/4 green Wurm creature token. Blockers may be reassigned.	Spined Wurm	
	Black creatures can't block this combat.	Spineless Thug	
	Chaos deals 3 damage to target nonblack creature in combat. You gain 3 life.	Spinning Darkness	
	Regenerate a creature in combat. Put a 0/1 blue Starfish creature token onto the battlefield.	Spiny Starfish	
	Target creature in combat has lifelink this combat.	Spirit Link	
	If there are no Reflection tokens on the battlefield, create a 2/2 white Reflection creature token. Blockers may be reassigned.	Spirit Mirror	
	Target attacking creature gains first strike this combat.	Spirit of the Night	
	Put a -0/-2 counter on target tapped creature in combat. 	Spirit Shackle	
	Target creature in combat gets +0/+2 until end of turn.	Spirit Shield	
	Target green or blue creature in combat gets +0/+1 this turn.	Spirit Weaver	
	Gain 4 life for each creature in combat.	Spiritual Guardian	
	If you control a Plains, you gain 1d6 life.	Spiritual Sanctuary	
	If you control a Mountain, target creature in combat gets +1/+0 this combat.	Spitting Drake	
	Chaos deals damage equal to the number of Mountains you control to target creature in combat.	Spitting Earth	
	Target a creature in combat. It's controller may pay 1G. If they do, it gains first strike this combat. Otherwise, each creature blocking or blocked by it gains first strike this combat.	Spitting Slug	
	Sacrifice a land. Chaos deals 1 damage to each creature with flying.	Spitting Spider	
	Chaos deals 1d6 damage to target creature. Chaos deals 1d6 damage to you and each creature you control.	Splintering Wind	
	For each artifact or creature card in an opponent's graveyard, add 1 to your mana pool and you gain 1 life.	Spoils of Evil	
	Search your library for a basic land card and put that card onto the battlefield. Then shuffle your library.	Spoils of Victory	
	Distribute 1d6 +1/+1 counters among any number of target creatures in combat. The number of counters can't be more than the number of artifact and/or creature cards in an opponent's graveyard as you play this effect.	Spoils of War	
	Sacrifice a creature. Chaos deals 3 damage to each creature.	Spontaneous Combustion	
	Tap all creatures. Prevent all combat damage that would be dealt this turn.	Spore Cloud	
	Prevent all combat damage that would be dealt this turn.	Spore Flower	
	Create a 2/3 white Griffin creature token with flying. Blockers may be reassigned.	Spotted Griffin	
	Destroy all tapped Swamps.	Spreading Algae	
	You gain 8 life.	Spring of Eternal Peace	
	Chaos deals 2 damage to each creature with flying.	Squall	
	Sacrifice a land. Add to your mana pool one mana of any type the sacrificed land could produce. This mana does not empty from your mana pool until the beginning of the next end step.	Squandered Resources	
	Return a creature from your graveyard to your hand.	Squee, Goblin Nabob	
	Prevent the next 1 damage that would be dealt to target creature in combat this combat.	Squee's Toy	
	Create a 1/2 white Human Soldier creature token. Blockers may be reassigned.	Squire	
	Choose a card in your hand. Covering the artist's name, reveal the card to target player. If that player cannot name the artist, reveal the artist's name and create a 1/1 green Squirrel token. Blockers may be reassigned.	Squirrel Farm	
	Creatures with landwalk abilities can be blocked as though they didn't have those abilities this combat.	Staff of the Ages	
	Target creature gets -2/-0 this combat.	Staff of Zegon	
	Target land you control is a 3/3 Elemental artifact creature that is still a land. (This effect lasts indefinitely.)This creature may be added to combat if able.	Stalking Stones	
	Create a 3/3 green Cat creature token that can't be blocked by more than one creature. Blockers may be reassigned.	Stalking Tiger	
	Attacking creatures get +1/+0 and gain trample this combat.	Stampede	
	Return a green creature you control to its owner's hand.	Stampeding Wildebeests	
	Tap a noncreature permanent you control. Pay 1 life. Add one mana of any color to your mana pool.	Standing Stones	
	White creatures have vigilance this combat.	Standing Troops	
	Create a creature token named Chaos Twin that exactly duplicates another creature you control. When the original creature leaves play, exile the Chaos Twin token. When the Chaos Twin token leaves play, sacrifice the original creature.	Stangg	
	Add to your mana pool one mana of any color a basic land you control could produce. This mana doesn't empty until the beginning of the next end step.	Star Compass	
	Destroy target artifact or creature. That permanent's controller gains control of a creature you control. (This effect lasts indefinitely.)	Starke of Rath	
	You gain 3 life for each black creature target opponent controls.	Starlight	
	You gain 5 life.	Starlight Invoker	
	Create a 3/4 white Angel creature token with flying. Blockers may be reassigned.	Starlit Angel	
	Players tap all permanents and combat ends.	Stasis	
	Remove all creatures from combat. Tap all permanents. Each player untaps two permanents. Replay combat with no Chaos roll.	Static Orb	
1	If you control a creature, gain 4 life.	Staunch Defenders	
	Create a 2/2 white Human Rebel creature token with vigilance. Blockers may be reassigned.	Steadfast Guard	
	Creatures you control in combat get +0/+3 this turn.	Steadfastness	
	You control target artifact.	Steal Artifact	
	You control target enchantment.	Steal Enchantment	
	Chaos deals 2 damage to each creature and each player.	Steam Blast	
	Destroy target tapped creature in combat.	Steam Catapult	
	Create a 3/3 blue Human Pirate creature token that can't attack unless the defender controls an Island. Blockers may be reassigned.	Steam Frigate	
	All players reveal their hands and discard all creature cards.	Steel Golem	
	Nonartifact creatures in combat get -1/-1 this combat.	Stench of Decay	
	Destroy all Plains. For each land put into a graveyard this way, Chaos deals 1 damage to that land's controller unless he or she pays 2.	Stench of Evil	
	Target creature in combat gets +2/+2 this turn.	Stern Marshal	
	Chaos deals 2 damage to each player that controls a tapped creature.	Stinging Licid	
	Chaos deals 5 damage to target opponent. You gain 5 life.	Stolen Grain	
	If you have played a spell this turn, untap a land you control.	Stone Calendar	
	Destroy target tapped nonblack creature in combat.	Stone Catapult	
	Target creature with toughness less than three in combat gains flying. Blockers may be reassigned. Destroy that creature at end of turn.	Stone Giant	
	Destroy target land.	Stone Rain	
	Target attacking creature can't be blocked by creatures with flying this combat.	Stone Spirit	
	Target creature in combat gets +0/+2 this turn. Target creature in combat gets +1/+0 this combat for each Mountain its controller controls.	Stonehands	
	Create a 1/1 black Devil creature token with first strike. Blockers may be reassigned.	Stone-Throwing Devils	
	Each player untaps either all of their artifacts, their creatures, or their lands.	Storage Matrix	
	You may put a land onto the battlefield. Whenever a land is tapped for mana this combat, return it to its owner's hand.	Storm Cauldron	
	Create a 1/2 blue Bird creature token with flying. Blockers may be reassigned.	Storm Crow	
	Remove the top card of your library from the game. Remove target attacking creature with flying from combat. Remove the top card of your library from the game. If the removed card is a snow land, target creature you control in combat gets +1/+1 this combat.	Storm Elemental	
	Tap and remove target creature with flying from combat.	Storm Front	
	Chaos deals damage equal to the number of cards in target player's hand to that player.	Storm Seeker	
	Target creature in combat gets +1/+0 this combat for each Mountain you control.	Storm Shaman	
	Chaos deals 2 damage to target creature in combat.	Storm Spirit	
	Chaos deals X damage to you, where X is 4 minus the number of cards in your hand.	Storm World	
	Discard a card at random. Chaos deals 2 damage to target creature or player.	Stormbind	
	Sacrifice an enchantment. Attacking creatures gain flying until end of turn. Blockers may be reassigned. Cascade the next card you cast until end of turn.	Stormcaller's Boon	
	Choose a legal color. The next time a source of your chosen color would deal damage to you this combat, prevent that damage.	Story Circle	
	Sacrifice a land. Return target creature card from your graveyard to play.	Strands of Night	
	Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.	Strategic Planning	
	Roll 1d6. On a 1, there is no effect. Otherwise, it has one of the following effects. 2 - Destroy all artifacts. 3 - Destroy all lands. 4 - Chaos deals 3 damage to each creature and player. 5 - Each player discards his or her hand and draws seven cards. 6 - Roll the die two more times.	Strategy, Schmategy	
	If an opponent controls a creature, sacrifice a creature.	Straw Golem	
	Create a 1/3 blue Scarecrow Soldier creature token. Blockers may be reassigned.	Straw Soldiers	
	Destroy target land or nonblack creature.	Stream of Acid	
	Target player gains life equal to the number of lands they control.	Stream of Life	
	Sacrifice a land. Destroy target land.	Strip Mine	
	If you control a creature, draw a card.	Striped Bears	
	Target player reveals his or her hand and discards a white card of your choice.	Stromgald Cabal	
	Whenever target attacking creature attacks and isn't blocked this combat, it deals no combat damage and the defending player plays with his or her hand revealed as long as that creature remains in play.	Stromgald Spy	
	Sacrifice a creature. Destroy target nonblack creature.	Stronghold Assassin	
	Each player loses 1 life for each creature he or she controls.	Stronghold Discipline	
	Remove target blocking creature from combat. It cannot block this combat. Draw a card.	Stun	
	Chaos deals 1 damage to target creature in combat. Tap that creature and remove it from combat. Blockers may be reassigned. 	Stun Sniper	
	Target player chooses three cards from his or her hand and puts them on top of his or her library in any order.	Stunted Growth	
	Target opponent discards a card at random, then discards a card.	Stupor	
	Prevent all combat damage that would be dealt by target creature this combat. That creature gets +0/+X this turn, where X is its converted mana cost.	Subdue	
	Chaos deals 1 damage to each creature without flying.	Subterranean Spirit	
	Each opponent loses 1 life. You gain life equal to the life lost this way.	Subversion	
	If a creature you control dies this combat, add 4 to your mana pool until end of turn.	Su-Chi	
	Chaos deals damage to target player equal to the number of cards in that player's hand.	Sudden Impact	
	Chaos deals 4 damage to target player who has a red instant or sorcery spell in their graveyard. Draw a card.	Suffocation	
	Destroy all Djinns and Efreets. They can't be regenerated. Whenever a Djinn or Efreet comes onto the battlefield this combat, destroy it. It can't be regenerated.	Suleiman's Legacy	
	You may put up to three lands from your hand onto the battlefield.	Summer Bloom	
	You may return target creature to its owner's hand for each creature you control.	Sun Ce, Young Conquerer	
	Target untapped creature gets +1/+3 this combat. Return an enchanted creature to its owner's hand.	Sun Clasp	
	Target untapped creature controlled by the active player has horsemanship this combat.	Sun Quan, Lord of Wu	
	Add 2 to your mana pool until end of turn.	Sunastian Falconer	
	Players may spend white mana as though it were red mana until end of turn.	Sunglasses of Urza	
	Blue creatures get +1/+1 this combat.	Sunken City	
	Each player returns a creature he or she controls to its owner's hand.	Sunken Hope	
	Sacrifice a snow land. Prevent all combat damage that would be dealt this combat.	Sunstone	
	Red creatures attacking have flying this combat.	Suntail Hawk	
	Create a 5/6 white Wall creature token with defender, flying, and can't block creatures with power 2 or less. Blockers may be reassigned.	Sunweb	
	Chaos deals damage to target creature equal to the number of creatures you control in excess of the number of creatures that creature's controller controls.	Superior Numbers	
	Whenever target attacker isn't blocked this combat, defending player gets a poison counter.	Suq'Ata Assassin	
	Creatures can't be the target of red spells or abilities from red sources this combat. Tap a creature you control. Chaos deals 1 damage to target creature or player.	Suq'Ata Firewalker	
	Create a 2/2 red Human Knight creature token with haste and flanking. Attackers and blockers may be reassigned.	Suq'Ata Lancer	
	Target untapped creature controlled by the active player gains trample and gets +X/+0 this combat, where X is its converted mana cost.	Surge of Strength	
	Whenever target creature blocks this combat, it gets +0/+2 this turn.	Sustainer of the Realm	
	Damage that would reduce your life total to less than 1 this combat reduces it to 1 instead.	Sustaining Spirit	
	Target creature gains shroud this combat.	Svyelunite Priest	
	Choose one - Add U to your mana pool; or Sacrifice a land and add UU to your mana pool.	Svyelunite Temple	
	Whenever target untapped creature controlled by the active player attacks and isn't blocked this combat, defending player gets a poison counter.	Swamp Mosquito	
	Target untapped creature you control has power this turn equal to the number of Rats you control.	Swarm of Rats	
	Target attacking creature gets -1/-0 until end of combat.	Sword Dancer	
	Tap a noncreature permanent you control. Remove that permanent and 1d6 creatures you control from the game. Chaos deals X damage to target creature or player, where X is the total power of the creatures removed from the game this way.	Sword of the Ages	
	Exile target creature in combat. Its controller gains life equal to its power.	Swords to Plowshares	
	When blocking or being blocked, target untapped creature has power equal to the toughness of target creature blocking or being blocked by that creature minus 1 this combat, and the targeted creatures toughness becomes 1 plus the power of the other creature this combat.	Sworn Defender	
	Whenever a creature blocks this combat, destroy it.	Sylvan Basilisk	
	When a creature you control in combat is put into a graveyard from play this combat, remove it from the game, then return another target creature card from your graveyard to your hand.	Sylvan Hierophant	
	Draw two cards. For each of those cards just drawn, pay 4 life or put the card on top of your library.	Sylvan Library	
	1d6 target creatures are green this combat.	Sylvan Paradise	
	Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library.	Sylvan Scrying	
	Search your library for a creature card and reveal that card. Shuffle your library, then put the card on top of it.	Sylvan Tutor	
	Target creature you control has power equal to the number of cards in your hand this combat.	Sylvan Yeti	
	Two target creatures each get +2/+2 until end of combat.	Symbiosis	
	Draw a card. Return target creature to its owner's hand.	Symbol of Unsummoning	
	Chaos deals 2 damage to each other player. You gain life equal to the damage dealt this way.	Syphon Soul	
	Whenever an artifact is put into a graveyard from play this combat, you gain 1 life.	Tablet of Epityr	
	Target creature in combat gets +3/+0 this combat if it's attacking. Otherwise, it has -2/-1.	Tahngarth's Rage	
	Each player sacrifices a creature or land for each creature they control.	Tainted Aether	
	Sacrifice an artifact. At end of turn, you gain life equal to the total life lost by all players this turn.	Tainted Sigil	
	Target player puts a card from his or her hand into his or her graveyard or on top of his or her library. If the card is put into that player's graveyard, Chaos deals 1 damage to each creature and each player.	Tainted Specter	
	Put 1d6 -0/-1 counters distributed however you wish on any number of creatures. If you control no creatures, Chaos deals X damage to you, where X is the number you rolled.	Takklemaggot	
	Create a 3/2 blue Human Pirate creature token with flying. Blockers may be reassigned.	Talas Air Ship	
	If you control a creature, look at target opponent's hand.	Talas Explorer	
	Create a 1/3 blue Human Pirate creature token. Blockers may be reassigned.	Talas Merchant	
	Draw a card.	Talas Researcher	
	Create a 1/2 blue Human Pirate Scout creature token with flying. Blockers may be reassigned.	Talas Scout	
	Create a 2/2 blue Human Pirate Warrior creature token that cannot be blocked. Blockers may be reassigned.	Talas Warrior	
	Choose a creature type. Creatures of that type have first strike this combat.	Talon Sliver	
	Create a 2/3 white and blue Bird Scout creature token with flying. Blockers may be reassigned.	Talon Trooper	
	Target creature in combat loses first strike if it blocks or has a blocker.	Talruum Champion	
	Create a 3/3 red Minotaur Berserker creature token with haste. Attackers and blockers may be reassigned.	Talruum Minotaur	
	All creatures with flying able to block target attacker do so.	Talruum Piper	
	Tap and remove target creature from combat.	Tangle Kelp	
	Target blocker has reach this combat.	Tangle Spider	
	Gain 1 life.	Tanglebloom	
	Lands you control phase out.	Taniwha	
	Target creature you control in combat can't be the target of spells or abilities your opponents control this combat.	Taoist Hermit	
	Target attacker can't be blocked by creatures with horsemanship this combat.	Taoist Mystic	
	When target creature in combat becomes the target of a spell or ability this combat, it is sacrificed.	Tar Pit Warrior	
	Sacrifice the creature you control in combat with the highest converted mana cost unless you pay that creature's mana cost. If two creatures you control are tied for highest cost, choose one.	Tariff	
	Whenever a creature you control in combat is put into a graveyard from play this combat, gain 1 life.	Tarpan	
	You gain 3 life plus 1d6 additional 3 life.	Taste of Paradise	
	Each attacker attacks you this combat if able.	Taunt	
	All creatures able to block target attacker this combat do so.	Taunting Challenge	
	Remove target creature in combat and all Auras attached to it from the game. Note the number and kind of counters that were on that creature. At the end of this combat, return the removed card to play under its owner's control tapped with the noted number and kind of counters on it, and if you do, return the removed Aura cards to play under their owner's control attached to that permanent.	Tawnos's Coffin	
	Target attacker with power 2 or less is unblockable this turn.	Tawnos's Wand	
	Target blocker gets +1/+1 this combat.	Tawnos's Weaponry	
	All creatures controlled by target player and his or her teammates get +1/+1 this turn.	Team Spirit	
	Create a 5/5 Dragon artifact creature token with flying, trample, and rampage 4. Blockers may be reassigned.	Teeka's Dragon	
	Permanents phase out.	Teferi's Curse	
	Create a 3/2 blue Drake creature token with flying and phasing. Blockers may be reassigned.	Teferi's Drake	
	Target untapped creature phases out.	Teferi's Honor Guard	
	If you control a creature, phase it out and discard a card. Draw a card.	Teferi's Imp	
	Add UU to your mana pool. This mana doesn't empty until end of turn.	Teferi's Isle	
	Put the cards in your hand on the bottom of your library in any order, then draw that many cards.	Teferi's Puzzle Box	
	Choose artifact, creature, land, or non-Aura enchantment. All nontoken permanents of that type phase out.	Teferi's Realm	
	Attacking creatures phase out at end of combat.	Teferi's Veil	
	Tap and remove target creature from combat. Prevent all combat damage that would be dealt by that creature this combat. It doesn't untap during its controller's next two untap steps.	Telekinesis	
	If you control a creature, look at target opponent's hand.	Telepathic Spies	
	Your opponents play with their hands revealed this combat.	Telepathy	
	Target attacker is unblockable this combat.	Teleport	
	Tap an untapped creature you control. Target creature in combat gains flying this combat. Blockers may be reassigned.	Telethopter	
	All attacking creatures with flanking get +1/+1 this turn.	Telim'Tor	
	Chaos deals 1 damage to target player.	Telim'Tor's Darts	
	Remove target permanent in combat you own or control from the game. Draw a card.	Telim'Tor's Edict	
	Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.	Telling Time	
	Roll 1d6. Put a Chaos Counter on a number of creatures in combat equal to the die roll. Remove a Chaos Counter from each creature in play or it is sacrificed.	Temp of the Damned	
	Create a 2/2 white and blue Drake creature token with flying and vigilance. Blockers may be reassigned.	Tempest Drake	
	Sacrifice a creature. Target opponent may pay 10 life. If that player doesn't, he or she reveals a card at random from his or her hand. Remove the revealed card from the game. You may play that card as if it were in your hand.	Tempest Efreet	
	Destroy all enchantments.	Tempest of Light	
	If you control a creature, gain 3 life.	Temple Acolyte	
	You gain 1 life.	Temple Elder	
	Return target permanent in combat to its owner's hand.	Temporal Adept	
	Take a turn after this one.	Temporal Manipulation	
	Each player may draw up to two cards. For each card less than two a player draws this way, that player gains 2 life.	Temporary Truce	
	Sacrifice a creature. Target opponent discards two cards.	Tendrils of Despair	
	Create a 2/2 white Griffin creature token with banding and flying. Blockers may be reassigned.	Teremko Griffin	
	Destroy target creature in combat. It can't be regenerated.	Terminate	
	Sacrifice a land you control. Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.	Terramorphic Expanse	
	Destroy target nonartifact, nonblack creature in combat. It can't be regenerated.	Terror	
	Put three +1/+1 counters on a creature you control. You may remove any number of +1/+1 counters from a creature you control. For each +1/+1 counter removed this way, create a 1/1 Chaosling artifact creature token with flying that cannot be enchanted. If you control any creature tokens, you may sacrifice any number of them to put that many +1/+1 counters on a creature you control.	Tetravus	
	Tap a creature you control. After attackers and blockers are declared, destroy target tapped or blocking creature.	Tetsuo Umezawa	
	Remove target creature from combat and tap it. That creature doesn't untap during its controller's next untap step.	Thalakos Dreamsower	
	Put target creature in combat on top of its owner's library.	Thalakos Mistfolk	
	If target creature in combat leaves the battlefield this combat, draw a card.	Thalakos Seer	
	Target creature in combat has shadow this combat. Blockers may be reassigned.	Thalakos Sentry	
	Create a 1/1 green Saproling creature token. Blockers may be reassigned.	Thallid	
	Target creature gets +1/+2 this turn.	Thallid Devourer	
	Tap and return a land you control to its owners hand. Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.	Thawing Glaciers	
	Each player sacrifices 1d6 nonartifact creatures.	The Abyss	
	Regenerate a creature you control and it gets +1/+0 this combat.	The Brute	
