		Creatures are unblockable.	Tidal Kraken		
		1U: Tap up to three target creatures without flying. Play this effect as a sorcery.	Tidal Surge		
		At the beginning of your upkeep, create a 5/5 blue Wall creature token with defender. Sacrifice it at end of turn.	Tidal Wave		
		3UU: Draw four cards. Play this effect as a sorcery.	Tidings		
		At the beginning of your upkeep, create a 1/1 green Wolf creature token with banding.	Timber Wolves		
		UU: Simultaneously, all creature cards that are phased out phase in and all creatures with phasing phase out.	Time and Tide		
		At the beginning of your upkeep, put a Chaos counter onto the battlefield. 1, Tap and sacrifice a permanent, Sacrifice all Chaos counters you control: Chaos deals damage to each creature and each player equal to the number of Chaos counters sacrificed this way. When this effect leaves play, exile all Chaos counters.	Time Bomb		
		At the beginning of your upkeep, put target creature on top of its owner's library.	Time Ebb		
		Whenever a creature attacks or blocks, at end of combat, sacrifice it and it deals 5 damage to it's controller. 2UU, Tap an untapped creature you control: Return target permanent that isn't enchanted to its owner's hand. Play this effect only once per turn.	Time Elemental		
		At the beginning of your upkeep, sacrifice five artifacts. If you do, take an extra turn after this one.	Time Sieve		
		6: End the turn. (Remove all spells and abilities on the stack from the game. The player whose turn it is discards down to his or her maximum hand size. Damage wears off, and "this turn" and "until end of turn" effects end.)	Time Stop		
		Instead of one turn, each player takes three turns before passing their turn.	Time Stretch		
		At the beginning of your turn (before untapping), choose one: Skip your current turn and get a Chaos Token; or Use a Chaos Token you already have. Using a Chaos Token allows you to take an extra turn after your current turn. You may use a Chaos Token even after this effect is replaced.	Time Vault		
		Instead of one turn, each player takes two turns before passing their turn.	Time Walk		
		Instead of one turn, each player takes two turns before passing their turn.	Time Warp		
		At the beginning of your upkeep, each player shuffles his or her hand and graveyard into his or her library and then draws seven cards.	Timetwister		
		Whenever a creature enters the battlefield, each player returns a creature to its owner's hand.	Timid Drake 		
		At the beginning of your upkeep, sacrifice a creature. The controller of target artifact may exile the top card of his or her library. If that player doesn't, exile the artifact.	Timmerian Fiends		
		At the beginning of your upkeep, put a creature from your hand onto the battlefield.	Timmy, Power Gamer		
		At the beginning of your upkeep, sacrifice a creature and add RR to your mana pool until end of turn.	Tinder Wall		
		Sacrifice a creature: Put 2 +1/+1 counters on target creature with the same type. It gains flying. (This effect doesn't end at end of turn.) Play this effect as a sorcery and only once per turn.	Tin-Wing Chimera		
		Noncreature artifacts lose their abilities and become artifact creatures with power and toughness each equal to their converted mana cost. When this effect leaves play, it continues until the next end step.	Titania's Song		
		At the beginning of your upkeep, search your library for a basic land card. If you control fewer lands than an opponent, you may search your library for an additional basic land card. Reveal those cards and put them into your hand. Then shuffle your library.	Tithe		
		1WW: Destroy all Goblins. Play this effect as a sorcery.	Tivadar's Crusade		
		At the beginning of your upkeep, create a 4/4 white and blue Human Advisor creature token.	Tobias Andrion		
		Creatures lose banding.	Tolaria		
		At the beginning of your upkeep, create a 2/4 blue Drake creature token with flying and phasing.	Tolarian Drake 		
		Whenever a creature you control becomes blocked by a creature, gain control of that creature at end of combat.	Tolarian Entrancer 		
		At the beginning of your upkeep, put the top seven cards of your library into your graveyard.	Tolarian Serpent 		
		1U: Discard all the cards in your hand, then draw that many cards.	Tolarian Winds		
		At the beginning of each upkeep, each player creates a 2/2 black Zombie creature token with haste for each creature card in his or her graveyard. At end of turn or when this effect leaves play, destroy all tokens put onto the battlefield with it. They can't be regenerated.	Tombstone Stairwell		
		Sacrifice two creatures: Create a 3/1 red Beast creature token.	Tooth and Claw		
		At the beginning of your upkeep, create a 3/3 red Giant creature token.	Tor Giant		
		Tap an untapped creature you control: That creature deals 2 damage to target attacking or blocking creature. Play this effect only once per turn.	Tor Wauki		
		Tap and sacrifice a permanent: Exile target player's graveyard. Play this effect as a sorcery and only once per turn.	Tormod's Crypt		
		2G, Pay 3 life for each Chaos counter in play: Destroy target permanent and put a Chaos counter onto the battlefield. Play this effect only once per turn. When this effect leaves play, exile all Chaos counters.	Tornado		
		XRR: Each player may tap any number of untapped creatures he or she controls. Chaos deals X damage to each creature without flying not tapped this way. Chaos deals X-1 damage to each creature without flying tapped this way. Play this effect as a sorcery.	Torrent of Lava		
		At the beginning of your upkeep, create a 5/5 green and white Human Soldier creature token.	Torsten Von Ursus		
		1B: Put a -1/-1 counter on target creature.	Torture		
		At the beginning of your upkeep, put a Chaos counter onto the battlefield. At the beginning of your end step, Chaos deals damage to you equal to the number of Chaos counters you control. 1: Exile all Chaos counters you control: Chaos deals damage to target creature equal to the number of Chaos counters exiled this way. When this effect leaves play, exile all Chaos counters.	Torture Chamber		
		Whenever you attack with one or more creatures, destroy all untapped non-Wall creatures you control that didn't attack, except for creatures you haven't controlled continuously since the beginning of the turn.	Total War		
		3U: Draw two cards. Play this effect as a sorcery.	Touch of Brilliance		
		Creatures are black.	Touch of Darkness		
		2B: Chaos deals 1 damage to target player. You gain 1 life. Draw a card. Play this effect as a sorcery.	Touch of Death		
		Creatures have haste. 0: Untap a creature and draw a card. Play this effect only once per turn.	Touch of Vitae		
		Tap an untapped permanent you control: Tap target artifact you don't control. Play this effect only once per turn.	Touchstone		
		At the beginning of your upkeep, sacrifice a permanent unless you pay B. Whenever a player puts a Forest onto the battlefield, Chaos deals 3 damage to that player unless he or she puts a -1/-1 counter on a creature he or she controls.	Tourach's Chant		
		Attacking creatures get +2/-1.	Tourach's Gate		
		Tap an untapped permanent you control: Target creature can't be blocked by Walls this turn. Play this effect only once per turn.	Tower of Coireall		
		Whenever a creature blocks, it gets +0/+2 until end of turn.	Town Sentry		
		Lands have shroud. Whenever a land is tapped for mana, its controller adds an additional one mana of any color.	Trace of Abundance		
		GG, Tap an untapped creature you control: That creature deals damage equal to its power to target creature. The damaged creature deals damage equal to its power to the tapped creature. Play this effect only once per turn.	Tracker		
		At the beginning of your upkeep, put a Chaos counter on a creature you control. Remove two Chaos counters from a creature you control: Untap target basic land. Play this effect only during an opponent's upkeep. When this effect leaves play, exile all Chaos counters.	Trade Caravan		
		1: Return a land you control to its owner's hand. 1, Discard a land card: Draw a card.	Trade Routes		
		Tap three untapped creatures you control: Return target permanent to its owner's hand.	Tradewind Rider		
		Creatures are unblockable.	Trailblazer		
		At the beginning of your upkeep, create a 3/3 green Elephant creature token.	Trained Armodon		
		Whenever a creature becomes blocked, it gets +1/+1 until end of turn.	Trained Cheetah		
		At the beginning of your upkeep, create a 1/2 green Hound creature.	Trained Jackal		
		At the beginning of your upkeep, create a 6/6 red Orgg creature token.	Trained Orgg		
		1G: Destroy all non-Aura enchantments.	Tranquil Domain		
		1GG: Destroy all enchantments.	Tranquil Grove		
		At the beginning of your upkeep, destroy all enchantments.	Tranquility		
		1B: Switch target creature's power and toughness until end of turn.	Transmutation		
		Sacrifice an artifact: Search your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it onto the battlefield. If it's greater, you may pay the cost difference. If you do, put it onto the battlefield. If you don't, put it into its owner's graveyard. Then shuffle your library.	Transmute Artifact		
		3UU: Target player puts the top half of his or her library, rounded down, into his or her graveyard. Play this effect as a sorcery.	Traumatize		
		Whenever a creature enters the battlefield under your control, you may return target artifact card from your graveyard to your hand.	Treasure Hunter		
		2UU: Draw a card.	Treasure Trove		
		At the beginning of your upkeep, create a 1/1 green Ape creature token with reach.	Tree Monkey		
		Creatures toughness is equal to the number of Forests their controller controls.	Treefolk Seedlings		
		Creatures have +1/+1 and can't be blocked except by creatures with flying.	Treetop Bracers		
		Creatures have reach.	Treetop Defense		
		Non-Basic lands are 3/3 green Ape creatures with trample. They are still lands.	Treetop Village		
		R: Chaos deals 1 damage to each creature without flying. Play this effect as a sorcery.	Tremor		
		2, Sacrifice a permanent: Choose target creature you control and target creature an opponent controls. Each creature deals damage equal to its power to the other. Play this effect as a sorcery and only once per turn.	Triangle of War		
		3, Tap an untapped permanent you control: Put a Chaos counter on target permanent you control. Remove two Chaos counters from target permanent you control, Sacrifice that permanent: You may put a creature card from your hand or graveyard onto the battlefield.	Triassic Egg		
		2G: Destroy target creature with horsemanship. Play this effect as a sorcery.	Trip Wire		
		Creatures enter the battlefield with three +1/+1 counters on them. Remove a +1/+1 counter from a creature: that creature deals 1 damage to target creature or player.	Triskelion		
		At the beginning of your upkeep, create a 3/3 white Human Knight creature token.	Trokin High Guard		
		Creatures you control can't be the target of spells or abilities your opponents control. 1G: Regenerate target creature.	Troll Ascetic		
		XG: Chaos deals X damage to each creature with flying and 1 additional damage to each blue creature. Play this effect as a sorcery.	Tropical Storm		
		2W: Each player may draw up to two cards. For each card less than two a player draws this way, that player gains 2 life.	Truce		
		Players have shroud.	True Believer		
		At the beginning of your upkeep, choose target creature an opponent controls. That creature blocks target creature you control this turn if able.	Trumpeting Armodon		
		At the beginning of your upkeep, destroy an Island.	Tsunami		
		RG, Tap an untapped creature you control: Target creature gets +2/+2 until end of turn.	Tuknir Deathlock		
		At the beginning of your upkeep, create a 1/1 white Wolf creature token with first strike.	Tundra Wolves		
		At the beginning of your upkeep, destroy target Wall. It can't be regenerated.	Tunnel		
		At the beginning of your upkeep, Tap or untap target artifact, creature, or land.	Twiddle		
		UU: Copy target instant or sorcery spell. You may choose new targets for the copy.	Twincast		
		At the beginning of your upkeep, tap or untap target artifact, creature, or land. Draw a card.	Twitch		
		1R: Target creature gets +2/+0 until end of turn. Creatures can't be blocked except by two or more creatures.	Two-Headed Dragon		
		Creatures gain trample and may block an additional creature in combat.	Two-Headed Giant of Foriys		
		2G: Chaos deals damage to each opponent equal to the number of Islands that player controls. Play this effect as a sorcery.	Typhoon		
		Creatures have cumulative upkeep: 1.	Uktabi Efreet 		
		3G, Sacrifice a creature: Destroy target artifact.	Uktabi Faerie		
		Whenever a creature enters the battlefield under your control, destroy target artifact.	Uktabi Orangutan		
		Creatures you control have power and toughness each equal to the number of Forests you control. G, Sacrifice a Forest: Regenerate a creature.	Uktabi Wildcats		
		Tap an artifact you control: Untap another target permanent. Play this effect as a sorcery and only once per turn.	Unbender Tine		
		Prevent all damage that would be dealt to creatures by creatures.	Uncle Istvan		
		Creatures get +2/+2 and attack each turn if able.	Uncontrollable Anger		
		This effect has Kicker: 2R. G: Prevent all combat damage that would be dealt this turn. If the Kicker cost was paid, this effect doesn't affect combat damage that would be dealt by red creatures.	Undergrowth		
		Creatures with islandwalk can be blocked as though they didn't have islandwalk.	Undertow		
		Whenever you draw a card, Chaos deals 1 damage to you.	Underworld Dreams		
		Tap an untapped land you control: Add one mana of any color to your mana pool. At the beginning of your next untap step, return that land to its owner's hand.	Undiscovered Paradise		
		1UU: Return two target creatures to their owners' hands. Play this effect as a sorcery.	Undo		
		Whenever a creature is put into a graveyard from the battlefield, put that creature on top of its owner's library.	Undying Beast		
		3, Tap an untapped permanent you control, Tap an untapped creature you control: Chaos deals damage equal to the tapped creature's power to target attacking or blocking creature with flying. Play this effect only once per turn.	Unerring Sling		
		1, Pay 1 life: Draw a card, then discard a card.	Unfulfilled Desires		
		Black legendary creatures can band with other legendary creatures.	Unholy Citadel		
		Creatures have +2/+1.	Unholy Strength		
		Nonattacking, nonblocking creatures get +0/+2.	Unlikely Alliance		
		3B: Each opponent discards two cards. Play this effect as a sorcery.	Unnerve		
		During your turn, creatures you control get +3/+3 and have first strike. Whenever a creature dealt damage by your creature this turn dies, you may exile that card. If you do, create a 2/2 black Zombie creature token.	Unscythe, Killer of Kings		
		1GG: Target creature gains forestwalk this turn.	Unseen Walker		
		Creatures get +3/+3. At the beginning of your upkeep, put a -1/-1 counter on each creature you control.	Unstable Mutation		
		Whenever a creature enters the battlefield under your control, target creature you control becomes a copy of that creature.	Unstable Shapeshifter		
		At the beginning of your upkeep, return target creature to its owner's hand.	Unsummon		
		2G: Search your library for a basic land card and put that card onto the battlefield. Then shuffle your library. Play this effect as a sorcery.	Untamed Wilds		
		3G: Chaos deals 2 damage to target creature or player. Play this effect as a sorcery.	Unyaro Bee Sting		
		Sacrifice a creature: Counter target red instant or sorcery spell.	Unyaro Griffin		
		1U: Target creature gains flying until end of turn. Draw a card.	Updraft		
		Mana pools don't empty at the end of phases or turns.	Upwelling		
		Creatures lose first strike and swampwalk.	Urborg		
		Whenever a creature is put into a graveyard from the battlefield, each opponent of the creatures controller sacrifices a creature.	Urborg Justice 		
		B, Sacrifice a creature: Target opponent discards a card at random. Play this effect as a sorcery.	Urborg Mindsucker		
		B, Sacrifice a creature: Destroy target creature blocking the sacrificed creature.	Urborg Panther		
		At the beginning of each player's upkeep, if that player controls a nonblack, nonland permanent, Chaos deals 1 damage to that player.	Urborg Stalker 		
		Creatures with swampwalk can be blocked as though they didn't have swampwalk.	Ur-Drago		
		Tap an untapped permanent you control: Add 2 to your mana pool.	Ur-Golem's Eye		
		Creatures have hexproof and +2/+2 for each Aura attached to them.	Uril, the Miststalker		
		If a source would deal damage to you, prevent 1 of that damage.	Urza's Armor		
		0: Target creature you control gets -1/-1 and gains your choice of banding, flying, first strike, or trample until end of turn.	Urza's Avenger		
		Tap and sacrifice a permanent: Look at a card at random in target player's hand. Draw a card. Play this effect as a sorcery and only once per turn.	Urza's Bauble		
		Whenever a player plays an artifact spell, anyone may pay 1. If you do, you gain 1 life.	Urza's Chalice		
		Permanents enter the battlefield tapped and don't untap during their controller's untap phase. All players play with their hands face up. Clap your hands twice: Tap or untap a non-land permanent you control.	Urza's Contact Lenses		
		3: Creatures you control gain banding this turn. 3: Banded attacking creatures gain trample this turn.	Urza's Engine		
		Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay 3. If you do, draw a card.	Urza's Miter		
		2: Roll 1d6 for a creature you control. 1 - It gets -2/-2 until end of turn. 2 - It deals no combat damage this turn. 3 - It gains vigilance until end of turn. 4 - It gains first strike until end of turn. 5 - It gains flying until end of turn. 6 - It gets +2/+2 until end of turn. Play this effect only once per turn.	Urza's Science Fair Project		
		At the beginning of your upkeep, create a 2/2 red Troll creature token with 1: Regenerate.	Uthden Troll		
		Tap an untapped creature you control: Add one mana of any color to your mana pool.	Utopia Tree		
		At the beginning of your upkeep, sacrifice a creature unless you pay 3. 1: Target creature gets +1/+0 until end of turn. 1: Target creature gets +1/+0 until end of turn. 1: Target creature gets +1/+0 until end of turn.	Vaevictis Asmadi		
		Creatures have mountaincycling 2 and forestcycling 2.	Valley Rannet		
		White creatures get +2/+0.	Valorous Charge		
		B: Target creature gets +1/+0 until end of turn. Play this effect no more than twice each turn.	Vampire Bats		
		5BB: Chaos deals 4 damage to target creature or player and you gain 4 life. Play this effect as a sorcery.	Vampiric Feast		
		Whenever a creature enters the battlefield under your control, you lose 4 life.	Vampiric Spirit		
		2B: Chaos deals 2 damage to target opponent and you gain 2 life. Play this effect as a sorcery.	Vampiric Touch		
		B: Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.	Vampiric Tutor		
		1B: Target creature you control gets +1/+1 for each other creature you control. All other creatures you control get -1/-1. Play this effect as a sorcery.	Vampirism		
		UU: Creatures you control phase out.	Vanishing		
		At the beginning of your upkeep, Creatures you control phase out unless you pay UU.	Vaporous Djinn		
		Attacking creatures can't be blocked except by Walls. At the beginning of each end step, sacrifice all creatures that attacked during the turn.	Varchild's Crusader		
		At the beginning of your upkeep, create a 1/1 red Survivor creature token under an opponent's control. Also create a 3/4 red Human Warrior creature token with trample and rampage 1.	Varchild's War-Riders		
		Creatures have "Tap: Tap target creature unless its controller pays 2 life."	Vectis Dominator		
		Whenever a creature becomes blocked, defending player loses 4 life.	Vedalken Ghoul		
		Whenever a creature you control deals damage to an opponent, you may draw a card.	Vedalken Heretic		
		U, Tap an untapped creature you control: Return target permanent you control to its owner's hand.	Vedalken Mastermind		
		During your turn, you may pay 1 and return a basic land you control to its owner's hand to put an artifact onto the battlefield tapped rather than pay its mana cost. Artifacts may be tapped to produce B or R anytime.	Veinfire Borderpost		
		Creatures get -3/-0 and gain forestwalk.	Veldrane of Sengir		
		Tap all creatures in play and put 1d6 Chaos counters on each of them. Creatures don't untap during your untap step if they have a Chaos counter on them. At the beginning of your upkeep, remove a Chaos counter from each of your creatures. When this effect leaves play, exile all Chaos counters.	Venarian Gold		
		Whenever a creature enters the battlefield under your control, gain 2 life.	Venerable Monk		
		Whenever a creature becomes tapped, destroy that creature.	Vengeance		
		At the beginning of your upkeep, return target card from your graveyard to your hand. If you return a nonland card to your hand this way, Chaos deals damage equal to that card’s mana value to any target.	Vengeful Rebirth		
		Creatures have deathtouch.	Venom		
		3G: At end of combat, destroy all creatures that blocked or were blocked by target creature this turn.	Venomous Breath		
		1X, Tap an untapped permanent you control: Put X Chaos counters onto the battlefield. At the beginning of your precombat main phase, if you have a Chaos counter in play, tap an untapped permanent you control and exile all Chaos counters you control. Then add X to your mana pool, where X is the number of Chaos counters exiled this way. When this effect leaves play, exile all Chaos counters.	Ventifact Bottle		
		At the beginning of your upkeep, each player creates a 1/1 green Saproling creature token.	Verdant Force		
		At the beginning of your upkeep, destroy target artifact.	Verdigris		
		Whenever you cast an enchantment spell, you may draw a card.	Verduran Enchantress		
		Whenever you tap a Forest for mana, add G to your mana pool.	Vernal Bloom		
		R: Chaos deals 2 damage to target creature with flying. That creature loses flying until end of turn.	Vertigo		
		As a creature enters the battlefield, you may choose a different creature on the battlefield. If you do, your creature enters the battlefield as a copy of that creature except its color is blue and gains "At the beginning of your upkeep, you may have this creature become a copy of target creature except its color is blue. If you do, this creature gains this ability." If not, your creature is a 0/0 Shapeshifter.	Vesuvan Doppelganger		
		All damage that would be dealt to you by unblocked creatures is dealt to an untapped creature you control instead. 	Veteran Bodyguard		
		At the beginning of your uipkeep, create a 2/2 white Human Knight creature token with vigilance.	Veteran Cavalier		
		Whenever a creature is put into a graveyard from the battlefield, each player may search his or her library for up to two basic land cards and put them onto the battlefield under their control. Then each player who searched his or her library this way shuffles it. 	Veteran Explorer 		
		Tap an untapped creature you control: Target creature other than this creature gets +2/+1 this turn.	Veteran's Voice		
		3, Tap an untapped permanent you control: Target player names a card, then reveals the top card of his or her library. If it's the named card, the player puts it into his or her hand. Otherwise, the player puts it into his or her graveyard and Chaos deals 2 damage to him or her. Play this effect only once per turn.	Vexing Arcanix		
		At the beginning of your upkeep, choose one - Target creature's power becomes 1 until end of turn; or Target creature's toughness becomes 1 until end of turn.	Vhati il-Dal		
		Creatures can't be blocked except by two or more creatures.	Viashino Runner		
		Creatures have haste. At end of turn, return all creatures to their owner's hand.	Viashino Sandscout		
		Creatures have haste. At the beginning of each end step, return any creature that entered the battlefield this turn to its owner's hand.	Viashino Sandstalker		
		At the beginning of your upkeep, create a 4/2 red Viashino Warrior creature token.	Viashino Warrior		
		R: Creatures you control get +1/+0 this turn. G: Creatures you control get +0/+1 this turn.	Viashivan Dragon		
		As long as it's your turn, creatures you control get +2/+0. As long as it's not your turn, creatures you control get -0/-2.	Vibrating Sphere		
1		BB: Chaos deals 2 damage to target creature and you gain 2 life. Play this effect as a sorcery.	Vicious Hunger		
		2U: Untap a creature.	Vigilant Drake		
		Sacrifice a creature: Regenerate target creature. WW, Tap and sacrifice a creature: Counter target spell that targets an enchantment. Play this effect only once per turn.	Vigilant Martyr		
		G, Tap an untapped creature you control, Sacrifice a Forest: Regenerate target creature. Play this effect only once per turn.	Village Elder		
		During your turn, your creatures have defender. Tap a creature with defender: add G to your mana pool.	Vine Trellis		
		Creatures you control get +1/+0 during your turn. Cascade the first spell you cast during your turn.	Violent Outburst		
		Whenever a creature enters the battlefield under your control, destroy target artifact.	Viridian Shaman		
		2B: Destroy all white creatures. Play this effect as a sorcery.	Virtue's Ruin		
		Creatures you control get +1/+1 during your turn.	Virtuous Charge		
		Creatures get +1/+1. 1U: Return an Aura to its owner's hand.	Viscerid Armor		
		Play this effect only once per turn. Tap and sacrifice a creature: Choose one - Sacrifice a Swamp and destroy target nonartifact creature. It can't be regenerated; or Sacrifice a Snow Swamp and destroy target creature. It can't be regenerated.	Viscerid Drone		
		At the beginning of your upkeep, choose one - Target artifact phases out; or Target player mills four cards; or Choose a land type and a basic land type, and each land of the first chosen type becomes the second chosen type this turn.	Vision Charm		
		W: Look at the top five cards of target player's library. You may then have that player shuffle that library. Play this effect as a sorcery.	Visions		
		G: Untap all creatures you control. Play this effect only once per turn.	Vitalize		
		XGW: You gain X+3 life.	Vitalizing Cascade		
		Whenever a creature enters the battlefield under your control, destroy target artifact.	Vithian Renegades		
		At the beginning of your upkeep, create a 6/6 blue Rabbit Beast creature token.	Vizzerdrix		
		UU, Tap an untapped creature you control: Target creature phases out.	Vodalian Illusionist 		
		Creatures can't attack unless the defending player controls an Island. When you control no Islands, sacrifice your creatures. U: Target creature you control gains flying until end of turn.	Vodalian Knights		
		U, Tap an untapped creature you control: Counter target spell unless its controller pays 1.	Vodalian Mage		
		At the beginning of your upkeep, create a 1/2 blue Merfolk Soldier creature token.	Vodalian Soldiers		
		Creatures with defender can attack as though they didn't have defender and have +2/+1. Whenever a creature with defender is put into a graveyard from the battlefield, destroy all Merfolk.	Vodalian War Machine		
		Whenever a creature enters the battlefield under your control, choose a color. That creature has protection from the chosen color.	Voice of All		
		At the beginning of your upkeep, create a 4/4 red Dragon creature token with flying and haste.	Volcanic Dragon		
		At the beginning of your upkeep, destroy 1d6 target Mountains. Chaos deals damage to each creature and each player equal to the number of Mountains destroyed this way.	Volcanic Eruption		
		XRR: Chaos deals X damage to target creature or player.	Volcanic Geyser		
		1R: Chaos deals 3 damage to target creature or player. Play this effect as a sorcery.	Volcanic Hammer		
		Creatures can't attack or block and their activated abilities can't be activated. Sacrifice a permanent: Ignore this effect until end of turn.	Volrath's Curse		
		When this effect comes into play, each player chooses target hand controlled by an opponent. That player balances a card in play he or she controls on the back of that hand. If that permanent falls off the hand, sacrifice it, that player loses 3 life, and put a new permanent in its place following the same rules.	Volrath's Motion Sensor		
		At the beginning of your upkeep, create a 1/2 white Human Soldier creature token.	Volunteer Militia		
		Creatures you control have banding during your turn and cumulative upkeep: 1	Volunteer Reserves 		
		At the beginning of your upkeep, put a Chaos counter onto the battlefield. XX, Tap an untapped permanent you control: Chaos deals X damage to target creature or player. X is the number of Chaos counters on the battlefield. At the beginning of your end step, if you did not play this effect, sacrifice a permanent and Chaos deals damage equal to the number of Chaos counters on the battlefield to you. When this effect leaves play, exile all Chaos counters.	Voodoo Doll		
		2: Target creature gets +2/+2 until end of turn. Play this effect as a sorcery.	Vulshok Morningstar		
		At the beginning of your upkeep, each player creates a 1/1 green Cat creature token for each untapped Forest he or she controls.	Waiting in the Weeds		
		1B, Sacrifice a creature: Regenerate your creatures.	Wake of Vultures		
		At the beginning of your upkeep, create a 1/1 black Zombie creature token with 1: Regenerate.	Walking Dead		
		3: Target creature with defender gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Play this effect only once each turn.	Walking Wall		
		At the beginning of your upkeep, create a 1/5 blue Wall creature token with defender and flying.	Wall of Air		
		At the beginning of your upkeep, create a 1/4 black Skeleton Wall creature token with defender and "1: Regenerate".	Wall of Bone		
		At the beginning of your upkeep, create a 2/3 green Plant Wall creature token with defender and "1: Regenerate".	Wall of Brambles		
		Whenever a Wall blocks a creature, if no non-Wall creatures are blocking that creature, the blockers gain banding until end of turn.	Wall of Caltrops		
		B, Sacrifice a creature: Destroy target creature the sacrificed creature is blocking.	Wall of Corpses		
		At the beginning of your upkeep, create a 0/8 white and blue Wall creature token with defender, flying, and shroud.	Wall of Denial		
		As long as it's not your turn, creatures you control can block creatures with shadow as though they had shadow.	Wall of Diffusion		
		Whenever a creature is blocked, it can't attack during its controller's next turn.	Wall of Dust		
		At the beginning of your upkeep, create a 0/6 red Wall creature token with defender.	Wall of Earth		
		At the beginning of your upkeep, create a 0/5 red Wall creature token with defender and "1: +1/+0 until end of turn".	Wall of Fire		
		At the beginning of your upkeep, create a 0/7 red Wall creature token with defender.	Wall of Granite		
		At the beginning of your upkeep, create a 2/6 red Wall creature token with defender.	Wall of Heat		
		At the beginning of your upkeep, create a 0/7 green Wall creature token with defender.	Wall of Ice		
		UU, Tap an untapped creature you control: Create a 0/1 blue Plant Wall creature token with defender. Play this effect only once per turn.	Wall of Kelp		
		R: Target creature gets +1/+1 until end of turn.	Wall of Lava		
		At the beginning of your upkeep, create a 1/5 white Wall creature token with defender and protection from black.	Wall of Light		
		1: Target creature gets +1/+0 until end of turn.	Wall of Opposition		
		G: Regenerate target creature.	Wall of Pine Needles		
		Prevent all damage that would be dealt to creatures by enchanted creatures.	Wall of Putrid Flesh		
		At the beginning of your end step, if a creature you control was dealt damage this turn, put a +0/+1 counter on it.	Wall of Resistance		
		Put a -0/-1 counter on a creature you control: Add G to your mana pool. Play this effect only once per turn.	Wall of Roots		
		Prevent all damage that would be dealt to Walls by creatures. Walls have shroud.	Wall of Shadows		
		At the beginning of your upkeep, create a 0/4 Wall artifact creature token with banding and defender.	Wall of Shields		
		At the beginning of your upkeep, create a 2/3 Wall artifact creature token with first strike and defender.	Wall of Spears		
		At the beginning of your upkeep, create a 0/8 red Wall creature token with defender.	Wall of Stone		
		At the beginning of your upkeep, create a 3/5 white Wall creature token with flying and defender.	Wall of Swords		
		At the beginning of your upkeep, target creature you control changes toughness to 1 plus the number of creature cards in your graveyard. (This effect doesn't end.)	Wall of Tombstones		
		Prevent all damage that would be dealt to blocking creatures.	Wall of Vapor		
		At the beginning of your upkeep, create a 0/5 blue Wall creature token with defender and "1: +1/+0 until end of turn".	Wall of Water		
		Creatures have +4/-4 and if they have defender they can attack as though they didn't have defender.	Wall of Wonder		
		At the beginning of your upkeep, create a 0/3 green Wall creature token with defender.	Wall of Wood		
		Tap an untapped permanent you control: Look at the top card of target player's library. If it's a nonland card, you may pay 2 life. If you do, put it into that player's graveyard. Play this effect only once per turn.	Wand of Denial		
		3, Tap an untapped permanent you control: Target player reveals a card at random from his or her hand. If it's a land card, that player discards it unless he or she pays 1 life. If it isn't a land card, the player discards it unless he or she pays life equal to its converted mana cost. Play this effect as a sorcery and only once per turn.	Wand of Ith		
		Whenever a creature enters the battlefield under your control, look at target player's hand.	Wanderguard Sentry		
		W, Pay 1 life: Prevent the next 2 damage that would be dealt to target creature this turn. U: Prevent the next 1 damage that would be dealt to target Cleric or Wizard creature this turn. B, Put a -1/-1 counter on a creature you control: Prevent the next 2 damage that would be dealt to target player this turn.	Wandering Mage		
		At the beginning of your upkeep, Chaos deals 1 damage to you for each creature you control.	Wanderlust		
		3: Target creature you control gains islandwalk this turn. Whenever a permanent you control leaves the battlefield in the same turn, destroy that creature. It can't be regenerated.	War Barge		
		Creatures gain trample.	War Chariot		
		At the beginning of your upkeep, create a 2/2 white Elephant creature token with trample and banding.	War Elephant		
		At the beginning of your upkeep, create a 3/3 green Elephant creature token with trample.	War Mammoth		
		Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Creatures have protection from the rolled color.	Ward of Lights		
		At the beginning of your upkeep, search your library for a permanent card with mana value X or less, where X=the number of lands you control, put it onto the battlefield, then shuffle.	Wargate		
		Whenever an opponent casts a red spell, you gain 2 life.	Warmth		
		W: Prevent all combat damage that would be dealt by attacking creatures this turn.	Warning		
		At the beginning of your upkeep, Chaos deals 1 damage to you for each artifact you control. 	Warp Artifact		
		5RRR: Each player counts and shuffles all permanents he or she owns into his or her library, then reveals that many cards from the top of his or her library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield under their control, then puts all enchantment cards revealed this way onto the battlefield under their control, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of his or her library in any order. Play this effect as a sorcery.	Warp World		
		Whenever a permanent is returned to a player's hand, that player discards a card.	Warped Devotion		
		At the beginning of your upkeep, you may pay 4. If you don't, creatures you control phase out. When creatures you control phase in, put a +1/+1 counter on them.	Warping Wurm		
		Creatures you control have +1/+1 during your turn.	Warrior's Charge		
		White creatures you control have +1/+1 during your turn.	Warrior's Honor		
