	Creatures have defender, plainscycling 2, and islandcycling 2 this turn.	Sanctum Plowbeast	
	If a spell or ability an opponent controls causes you to discard a creature card this turn, return it from your graveyard to play at end of turn with a +1/+1 counter on it.	Sand Golem	
	Target creature you control gains islandwalk this turn. If that creature dies this turn, sacrifice a permanent.	Sandals of Abdallah	
	Create a 6/5 blue Crocodile creature token with phasing.	Sandbar Crocodile	
	During your upkeep this turn, simultaneously untap each tapped artifact, creature, and land you control and tap each untapped artifact, creature, and land you control.	Sands of Time	
	Target creature you control gets +1/+0 for each Mountain you control and first strike this turn.	Sandstone Warrior	
	Chaos deals 1 damage to each attacking creature whenever attackers are declared this turn.	Sandstorm	
	Target creature gets +3/-3 this turn.	Sangrite Backlash	
	Whenever a creature enters the battlefield under your control this turn, target player discards a card at random.	Sanity Gnawers	
	Choose one - Target player draws a card; or Target creature an opponent controls phases out; or Target creature gains flying this turn.	Sapphire Charm	
	Blue spells you cast this turn cost 1 less to cast.	Sapphire Medallion	
	Create a 2/2 black Zombie creature token. At the beginning of the next end step, if there are no Zombies on the battlefield, Chaos deals 1 damage to you.	Sarcomancy	
	Destroy target Aura attached to a land.	Savaen Elves	
	Chaos deals 1d6 damage to each creature.	Savage Twister	
	Create a 2/1 white Cat creature token.	Savannah Lions	
	Target creature you control gains flying this turn. Chaos deals 2 damage to target creature.	Sawback Manticore	
	At end of combat this turn, creatures that blocked or were blocked take a point of damage.	Sawtooth Ogre	
	If you have three or fewer cards in hand, Chaos deals 1 damage to target opponent.	Scalding Tongs	
	Create a 4/4 green and white Human Soldier creature token with protection from black.	Scalebane's Elite	
	Create a 7/6 green Wurm creature token.	Scaled Wurm	
	Target creature you control has flying this turn. Whenever a creature deals combat damage to a player, that player removes the top four cards of his or her library from the game. If two or more of those cards have the same name, repeat this process.	Scalpelexis	
	Sacrifice a pemanent. Return all Auras attached to target permanent you own to their owners' hands. Draw a card.	Scarab of the Unseen	
	Prevent all damage that would be dealt by creatures with flying this turn.	Scarecrow	
	Prevent the next 7 damage that would be dealt to target creature or player this turn. For each 1 damage to a creature prevented this way, put a +0/+1 counter on that creature at end of turn.	Scars of the Veteran	
	Unless target artifact's controller pays 2, gain control of that artifact as long as the creature you tapped is in play.	Scarwood Bandits	
	Create a 2/2 red and green Goblin creature token.	Scarwood Goblins	
	Choose one - Target creature you control gains forestwalk this turn; or Target creature with forestwalk loses forestwalk permanently.	Scarwood Hag	
	Create a 2/2 black Zombie creature token.	Scathe Zombies	
	Sacrifice a creature you control. Destroy target artifact.	Scavenger Folk	
	Regenerate target creature you control.	Scavenging Ghoul	
	Target creature you control has power and toughness each equal to the number of creatures you control until end of turn.	Scion of the Wild	
	Creatures cannot attack or block this turn.	Scissors Lizard	
	Reveal your hand and discard all land cards. Destroy target land and then destroy lands equal to the number you discarded this way.	Scorched Earth	
	Lands tap to add 4 to your mana pool instead of their normal mana this turn.	Scorched Ruins	
	Chaos deals 1 damage to target creature or player.	Scorching Spear	
	Chaos deals 1 damage to each attacking creature this turn.	Scorching Winds	
	Roll a die. If the result is an even number, return a creature you control to its owner's hand.	Scoria Wurm	
	Creatures can't be countered and have protection from blue this turn.	Scragnoth	
	When a creature comes onto the battlefield this turn, draw a card, then discard a card.	Screeching Drake	
	Target creature you control has flying this turn. Regenerate it.	Screeching Harpy	
	Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.	Scroll Rack	
	Create a 1/1 green Faerie creature token with flying.	Scryb Sprites	
	If you control an artifact, you may choose an artifact in play. If you do, your artifact becomes a copy of that artifact.	Sculpting Steel	
	When a creature comes onto the battlefield this turn, return two target lands you control to their owner's hand.	Sea Drake	
	Create a 1/1 blue Bird creature token with flying.	Sea Eagle	
	Target creature becomes blue this turn.	Sea Kings' Blessing	
	Creatures can't attack this turn unless defending player controls an Island.	Sea Monster	
	Tap a creature you control. Choose one - Add 1 to your mana pool; or Add U to your mana pool.	Sea Scryer	
	Creatures you control can't attack this turn unless the defending player controls an Island. If you control no Islands, sacrifice a creature. 	Sea Serpent	
	Target creature you control has +1/+0 this turn for each Island you control.	Sea Spirit	
	Create a 1/1 blue Faerie creature token with flying and protection from red.	Sea Sprite	
	If target creature blocks or is blocked by a blue creature this turn, regenerate it.	Sea Troll	
1	Blue legendary creatures can band with other legendary creatures this turn.	Seafarer's Quay	
	Tap all lands you control for mana. Spend all mana in your pool on X. Look at the top X cards of target opponent's library. Remove one of those cards from the game and put the rest back on top of that player's library in any order.	Sealed Fate	
	Target creature you control can't be blocked except by two or more creatures this turn.	Searing Spear Askari	
	Chaos deals 1 damage to target creature or player. Repeat this effect if you pay 4.	Searing Touch	
	Chaos deals 10 damage to target creature or player.	Searing Wind	
	Target land is a Basic Island this turn.	Sea's Claim	
	If you control no Islands, sacrifice a creature. Tap target creature you control to gain control of target opponent's creature whose controller controls an Island. That creature has haste and returns to it's owner at end of turn.	Seasinger	
	Sacrifice a permanent unless you pay 2 life. At end of turn, destroy all creatures you control that didn't attack this turn, except for creatures that couldn't attack.	Season of the Witch	
	After attackers are announced this turn, you may tap a creature.	Seasoned Marshal	
	Remove the top four cards of your library from the game. The next time a source of your choice would deal damage to you this turn, prevent that damage.	Seasoned Tactician	
	If you control a Swamp, target creature you control gets +1/+1 this turn. Regenerate that creature.	Sedge Troll	
	Untap all permanents in play.	Seedborn Muse	
	Choose one - Return target Aura attached to a creature to its owner's hand; or Regenerate target green creature; or Target creature gains trample this turn.	Seedling Charm	
	Destroy all artifacts. They can't be regenerated. The controller of each artifact destroyed this way gains life equal to its converted mana cost.	Seeds of Innocence	
	Target creature you control can't be blocked this turn except by artifact creatures and/or white creatures.	Seeker	
	Untap target creature.	Seeker of Skybreak	
	Add RRRRR to your mana pool.	Seething Song	
	Whenever a creature becomes the target of a spell or ability this turn, put a -1/-1 counter on it.	Segmented Wurm	
	Create a 3/3 blue Leviathan creature token with islandwalk.	Segovian Leviathan	
	Discard a land card. Chaos deals 2 damage to target creature or player.	Seismic Assault	
	Whenever target creature you control becomes tapped this turn, Chaos deals 3 damage to you unless you pay 3.	Seizures	
	Pay 2 life. Return target creature to its owner's hand.	Selenia, Dark Angel	
	Choose target opponent. This turn, that player can’t cast spells or activate abilities and plays with their hand revealed. You may play lands and cast spells from that player’s hand this turn. This effect may not be responded to.	Sen Triplets	
	Create three 0/1 black Serf creature tokens.	Sengir Autocrat	
	Whenever a creature dealt damage by a creature you control is put into a graveyard this turn, put a +1/+1 counter on your creature.	Sengir Bats	
	If a creature is dealt damage by another creature and dies this turn, put a +1/+1 counter on the creature that damaged it. 	Sengir Vampire	
	Target creature you control gets a toughness of 1 plus the power of target creature blocking it this turn. This effect is permanent.	Sentinel	
	Whenever a creature dealt damage by a creature you control is put into a graveyard this turn, put that card onto the battlefield at end of turn. Sacrifice the creature when you lose control of the creature that dealt the damage.	Seraph	
	Sacrifice a land. If you sacrifice an Island this way, Chaos deals 3 damage to you. When you control no lands this turn, sacrifice a creature.	Serendib Djinn	
	Chaos deals 1 damage to you for each creature you control. Creatures you control have flying this turn.	Serendib Efreet	
	Destroy all Auras.	Serene Heart	
	Destroy target enchantment. You gain life equal to its converted mana cost.	Serene Offering	
	Destroy all artifacts and enchantments. They can't be regenerated.	Serenity	
	Whenever a creature comes onto the battlefield this turn, destroy target nonblack creature.	Serpent Assassin	
	Create a 1/1 Snake artifact creature token with toxic 1.	Serpent Generator	
	Whenever a creature comes onto the battlefield this turn, you lose 3 life.	Serpent Warrior	
	Target creature gets +2/+2 this turn if it attacks.	Serra Advocate	
	Create a 4/4 white Angel creature token with flying and vigilance.	Serra Angel	
	Creatures with flying get +1/+1 this turn.	Serra Aviary	
	Target creature can't attack or block and its activated abilities can't be played this turn.	Serra Bestiary	
	When a creature you control becomes blocked by one or more black creatures this turn, your creature gets +2/+0.	Serra Inquisitors	
	Choose one - Prevent the next 1 damage that would be dealt to target creature or player this turn; or Target creature gains vigilance this turn.	Serra Paladin	
	Creatures have vigilance this turn.	Serra's Blessing	
	Target creature you control gets +2/+2, flying, and vigilance this turn.	Serra's Embrace	
	Distribute three -1/-1 counters on any number of creatures.	Serrated Arrows	
	Put a -1/-1 counter on a creature you control and a -1/-1 counter on target creature.	Serrated Biskelion	
	Whenever target creature you control leaves the battlefield this turn, sacrifice a creature.	Servant of Volrath	
	Destroy target nonblack creature. It can't be regenerated. You gain life equal to its toughness.	Sever Soul	
	Target artifact creature you control has fear until end of turn.	Severed Legion	
	Pay 3 life. Target creature you control gets +3/+0 this turn.	Sewer Rats	
	Create a 3/1 blue, red, and black Zombie Drake creature token with flying and haste.	Sewn-Eye Drake	
	Prevent up to 3 damage total to any number of creatures and/or players this turn. If there are more players in the room of the opposite sex, prevent up to 3 additional damage total to any number of creatures and/or players this turn.	Sex Appeal	
	Choose one - Put target creature you control on top of its owner's library; or Chaos deals 1 damage to target creature or player and 1 damage to you.	Shadow Guildmage	
	Create a 3/3 black Zombie Knight creature token with flanking.	Shadow Rider	
	Target creature you control gains shadow this turn. Draw a card.	Shadow Rift	
	The next time a source of your choice would deal damage to you or a creature you control this turn, prevent that damage. If damage from a black source is prevented this way, you gain life equal to the damage prevented this way.	Shadowbane	
	Chaos deals 2 damage to each creature with shadow.	Shadowstorm	
	Players play a MAGIC subgame, using their libraries as their decks. Each player who doesn't win the subgame loses half their life, rounded up.	Shahrazad	
	Return the top creature card from your graveyard to play. That creature gains haste this turn. Remove it from the game at end of turn.	Shallow Grave	
	Target creature you control gets +1d6/-1d6 this turn.	Shambling Strider	
	Create a 1/1 green Dryad creature token with forestwalk.	Shanodin Dryads	
	Tap a creature you control. Choose one - Target creature gains first strike this turn; or Target creature gets +1/+0 this turn.	Shaper Guildmage	
	When a creature comes onto the battlefield this turn, it becomes an artifact creature and it's creature type becomes Shapeshifter. You must choose a number between 0 and 7. This Shapeshifter's power is equal to the last chosen number and its toughness is equal to 7 minus that number.	Shapeshifter	
	Sacrifice a creature. Chaos deals 2 damage to each creature without flying. Return target creature from your graveyard to your hand.	Shard Phoenix	
	Destroy target artifact.	Shatter	
	Return 1d6 target creature cards from your graveyard to your hand. You lose 1d6 life.	Shattered Crypt	
	Destroy all artifacts. They can't be regenerated.	Shatterstorm	
	Creatures can't attack if there's another creature in play. You lose 3 life. Tap a creature you control. Remove target creature from the game and put a +1/+1 counter on a creature you control.	Shauku, Endbringer	
	Tap a creature you control. Chaos deals 2 damage to target white creature.	Shauku's Minion	
	Tap a creature you control. Target creature loses all banding abilities this turn.	Shelkin Brownie	
	If you control three or fewer lands, you gain 1d6 life.	Sheltered Valley	
	Create a 0/3 white Human Soldier creature token with banding.	Shield Bearer	
	Prevent the next 1 damage that would be dealt to you this turn for every 2 lands you control.	Shield of the Ages	
	Whenever a creature is blocked this turn, the attacking creature doesn't untap during its controller's next untap step.	Shield of the Righteous	
	Put a -0/-1 counter on target untapped creature you don't control.	Shield Sphere	
	Creatures you control get +0/+2 this turn.	Shield Wall	
	Choose a legal color. All nonland permanents you control are the chosen color.	Shifting Sky	
	Tap a creature you control. It doesn't untap during your next untap step. All damage that would be dealt this turn by target blocking creature is dealt to the creature you tapped instead.	Shimian Night Stalker	
	Roll 1d6. 1-Swamps, 2-Islands, 3-Forests, 4-Mountains, 5-Plains, 6-Nonbasic. All lands of the rolled type phase out this turn.	Shimmer	
	Target untapped creature phases out.	Shimmering Efreet	
	Target creature you control has flying this turn. Return target Aura to its owner's hand.	Shimmering Wings	
	Target flying creature you control gets +1/+0 this turn for each land you control.	Shivan Dragon	
	Creatures you control have flying this turn. Chaos deals 1 damage to target creature or player.	Shivan Hellkite	
	Chaos deals 2 damage to target creature or player.	Shock	
	Sacrifice a creature you control. Chaos deals 2 damage to target creature or player.	Shock Troops	
	Whenever target creature you control deals damage to a player this turn, that player discards all the cards in his or her hand, then draws that many cards.	Shocker	
	Chaos deals 1 damage to target creature and 1 damage to target player.	Shower of Sparks	
	If you control a creature, return a creature you control to its owner's hand.	Shrieking Drake	
	Whenever a creature attacks this turn, the defending player discards a card.	Shrieking Specter	
	Target creature gets -5/-0 this turn.	Shrink	
	Create a 2/2 white Human Soldier creature token with horsemanship.	Shu Cavalry	
	Whenever a creature blocks, it gets +0/+2 this turn.	Shu Defender	
	Create a 3/3 white Human Soldier creature token with horsemanship.	Shu Elite Companions	
	Create a 3/3 white Human Soldier creature token.	Shu Elite Infantry	
	Tap a creature you control. You gain 1 life.	Shu Farmer	
	Create a 2/3 white Human Soldier creature token.	Shu Foot Soldiers	
	Target creature you control has horsemanship and vigilance until end of turn.	Shu General	
	If you control a creature, gain 2 life.	Shu Grain Caravan	
	If you control a creature, gain 4 life.	Shu Soldier-Farmers	
	Take a sorcery or instant card from any players graveyard and play it without paying it's mana cost.	Shunt	
	Target creature you control becomes the color or colors of your choice. (This effect doesn't end at end of turn.)	Shyft	
	Whenever a creature attacks this turn, the defending player may draw a card.	Sibilant Spirit	
	When a creature you control attacks this turn, tap target creature defending player controls.	Sidar Jabari	
	Create three 1/1 red Goblin creature tokens. You may sacrifice any number of Goblins. If you do, Chaos deals 2 damage to any target for each Goblin sacrificed this way.	Siege-Gang Commander	
	Draw three cards, then discard a card.	Sift	
	Whenever a creature enters the battlefield under your control this turn, if that creature is 1/1, put two +1/+1 counters on it.	Sigil Captain	
	Target creature you control gets +1/+1 this turn for each creature you control.	Sigil of the Nayan Gods	
	Create a 5/4 green and white Beast creature token with exalted.	Sigiled Behemoth	
	Prevent all damage that would be dealt to target creature this turn by spells or abilities that target it.	Silhouette	
	Chaos deals 1d6 damage to each creature with flying.	Silklash Spider	
	Create a 2/2 blue Bird creature token with flying and trample.	Silver Erne	
	Create a 5/5 green Ape creature token.	Silverback Ape	
	Target creature you control has power equal to the number of Swamps you control.	Sima Yi, Wei Field Marshal	
	Chaos deals 1 damage to each creature target opponent controls.	Simoon	
	Gain life equal to the damage you are dealt this turn and Chaos deals damage to target creature you control equal to the damage dealt to you. 	Simulacrum	
	Draw a card and reveal it. If it isn't a land card, discard it.	Sindbad	
	Whenever a creature enters the battlefield under your control this turn, target player reveals a card at random from his or her hand, then loses life equal to that card's mana value.	Singe-Mind Ogre	
	Target creature you control has base power of 0 this turn.	Singing Tree	
	Destroy target land.	Sinkhole	
	Create a 4/7 green and white Human Knight creature token.	Sir Shandlar of Eberyn	
	All creatures you control attack this turn if able. At end of turn, destroy all non-Wall creatures you control that didn't attack this turn. Ignore this effect for each creature with summoning sickness.	Siren's Call	
	Target player reveals his or her hand. For each blue instant card revealed, he or she pays 4 life or discards that card.	Sirocco	
	Add 2 to your mana pool this turn.	Sisay's Ring	
	Add R to your mana pool this turn.	Sisters of the Flame	
	Create a 6/4 blue and black Human creature token.	Sivitri Scarzam	
	Chaos deals 3 damage to each opponent.	Sizzle	
	Create a 5/1 black Crocodile Skeleton creature token.	Skeletal Crocodile	
	Create a 2/1 black Snake Skeleton creature token.	Skeletal Snake	
	If you control no Islands, sacrifice a creature.  Put a -1/-1 counter on target creature.	Skeleton Ship	
	Sacrifice a creature.	Skittering Horror	
	Each player sacrifices a creature.	Skittering Skirge	
	When target creature you control becomes the target of a spell or ability this turn, sacrifice it.	Skulking Ghost	
	Sacrifice a creature. Chaos deals 2 damage to target creature or player.	Skull Catapult	
	Return target enchantment card from your graveyard to your hand.	Skull of Orm	
	Add U to your mana pool this turn.	Sky Diamond	
	Target white or blue creature you control has flying and first strike this turn.	Sky Spirit	
	Target white or black creature you control gains flying this turn.	Sky Weaver	
	Whenever a creature you control attacks this turn, roll 1d6. If the result is even, that creature gets +1/+1 and gains flying until end of turn.	Skyclaw Thrash	
	Target creature you control has flying and first strike this turn.	Skyhunter Patrol	
	Target creature you control has flying and vigilance this turn.	Skyhunter Prowler	
	Target creature you control has flying and double strike this turn.	Skyhunter Skirmisher	
	You may not cast creature spells unless you've cast another spell this turn.	Skyshroud Condor	
	Add G, W or R to your mana pool this turn.	Skyshroud Elf	
	Target creature you control gets +1/+2 until end of turn as long as an opponent controls a nonbasic land.	Skyshroud Elite	
	White creatures have flying and vigilance this turn.	Skyshroud Falcon	
	You may put a land card from your hand onto the battlefield under your control.	Skyshroud Ranger	
	Regenerate target creature you control.	Skyshroud Troll	
	Discard a creature card. Target creature you control gets flying and +2/+2 this turn.	Skyshroud Vampire	
	Whenever target creature you control becomes blocked this turn, it gets +2/+2 until end of turn.	Slashing Tiger	
	Discard your hand. Draw a card for each creature you control.	Slate of Ancestry	
	Gain control of target creature. Untap that creature. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.	Slave of Bolas	
	Destroy target green creature. It can't be regenerated. Draw a card.	Slay	
	Give one of your creatures to target opponent. Chaos deals 1d6 x 2 damage to that opponent.	Sleeper Agent	
	Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.	Sleight of Hand	
	Change the text of target permanent by replacing all instances of one color word with another. (For example, you may change "target black spell" to "target blue spell.") (This effect doesn't end.) 	Sleight of Mind	
	Forests have cycling 2 this turn.	Slippery Karst	
	Destroy target artifact. Draw a card.	Smash	
	You may not untap more than one creature during your untap step this turn.	Smoke	
	Mountains have cycling 2 this turn.	Smoldering Crater	
	Sacrifice a permanent. Create a number of 1/1 green Snake creature tokens equal to the mana value of the sacrificed permanent.	Snake Basket	
	Create a 3/2 blue Drake creature with flying.	Snapping Drake	
	Target creature you control can't be blocked by creatures with power 2 or greater this turn.	Sneaky Homunculus	
	Target creature you control has flying this turn. Target untapped creature you don't control has first strike this turn as long as its controller controls a snow land.	Snow Devil	
	Target creature you control gets +1/+0 this turn for each land you control. Target creature you control gets +0/+1 this turn for each land you control. Chaos deals 1 damage for every three lands you control to target creature without flying that you control.	Snow Fortress	
	Tap a creature you control. Return a tapped creature you control and target blue or green creature you control to their owner's hand.	Snow Hound	
	Target creature you control gets -X/-Y this turn. If that creature attacks this turn, X is the number of snow lands defending player controls. Otherwise, X is the number of snow lands you control. Y is equal to X or to the creature's toughness minus 1, whichever is smaller.	Snowblind	
	Whenever an Island is tapped for mana this turn, its controller may add U to his or her mana pool. If that Island is snow, its controller may add UU to his or her mana pool instead.	Snowfall	
	Target creature you control gets +0/+1 and has flying this turn.	Soar	
	Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Add one mana of the rolled color to your mana pool.	Sol Grail	
	Add 2 to your mana pool. This mana doesn't empty until end of turn.	Sol Ring	
	Sacrifice a black or artifact creature. Add an amount of black mana equal to the sacrificed creature's converted mana cost to your mana pool.	Soldevi Adnate	
	Put the top 1d6 cards of your graveyard on the bottom of your library.	Soldevi Digger	
	Look at the top card of your library. You may put that card on the bottom of your library.	Soldevi Excavations	
	Target tapped creature you control doesn't untap this turn unless you untap target tapped creature an opponent controls.	Soldevi Golem	
	Prevent the next 2 damage that would be dealt this turn to target creature you control. Target opponent draws a card.	Soldevi Heretic	
	Add 2 to your mana pool. Spend this mana only to play activated abilities of artifacts.	Soldevi Machinist	
	Sacrifice two lands. Draw three cards, then discard one of them.	Soldevi Sage	
	Regenerate target creature you control. Target opponent draws a card.	Soldevi Sentry	
	Target creature you control gets +1/+0 this turn for each land you control.	Soldevi Simulacrum	
	Whenever a creature you control is tapped this turn, target opponent gains 2 life. Regenerate a creature you control.	Soldevi Steam Beast	
	Target player shuffles his or her library.	Soldier of Fortune	
	You can't play lands this turn. Draw a card.	Solfatara	
	Creatures you control have +0/+5 this turn.	Solidarity	
	Whenever a black spell is played this turn, gain 1 life.	Sol'kanar the Swamp King	
	Target creature you control has shadow and +1/+0 this turn for each plains you control.	Soltari Crusader	
	Target creature you control gains shadow this turn for each Plains you control.	Soltari Emissary	
	Target creature you control has shadow this turn.	Soltari Foot Soldier	
	The next time target creature you control would deal combat damage to an opponent this turn, it deals that damage to target creature instead.	Soltari Guerrillas	
	Target creature you control has shadow and first strike this turn.	Soltari Lancer	
	Target creature has protection from black and shadow this turn.	Soltari Monk	
	Target creature has protection from red and shadow this turn.	Soltari Priest	
	Whenever target creature you control attacks this turn, it gets +1/+1 until end of turn.	Soltari Trooper	
	Put the top four cards of your library into your graveyard. Attacking creatures get +1/+0 this turn for each creature card put into your graveyard this way.	Song of Blood	
	Add B to your mana pool for each creature card in your graveyard.	Songs of the Damned	
	Prevent all combat damage that would be dealt this turn by target creature you control with flying.	Songstitcher	
	Discard a card at random. Chaos deals 4 damage to target creature or player.	Sonic Burst	
	Bird creatures get +1/+1 this turn. Target Bird creature you control gains banding this turn.	Soraya the Falconer	
	Target creature has base power and toughness 0/2 this turn.	Sorceress Queen	
	Draw a card. Look at target opponent's hand.	Sorcerous Sight	
	Choose two untapped creatures you don't control. These two creatures must block all creatures that they can this combat. Chaos deals 2 damage to you and 2 damage to each creature you control.	Sorrow's Path	
	Before playing any spell this turn, if a copy of that spell card is in any graveyard, the spell's caster may say "Sorry." If he or she does not, any other player may counter the spell by saying "Sorry" as it is cast. If any player says "Sorry" at any other time during this turn, Chaos deals 2 damage to that player.	Sorry	
	Whenever you play a creature spell this turn, Chaos deals 2 damage to you unless you pay 2.	Soul Barrier	
	Chaos deals 1d6 damage to target creature or player. You gain life equal to the damage dealt, but not more than the player's life total before Chaos dealt damage, or the creature's toughness.	Soul Burn	
	Put 1d6 Chaos Counters onto the battlefield. As long as you control a Chaos Counter, you don't lose the game for having 0 or less life. For each 1 damage that would be dealt to you this turn, remove 1 Chaos Counter from the game instead. At end of turn, remove all Chaos Counters from the game.	Soul Echo	
	Remove a creature you control from the game. Return target creature card from your graveyard to play. Put a +2/+2 counter on that creature if the removed creature was black.	Soul Exchange	
	Target player loses 4 life and you gain 4 life.	Soul Feast	
	Pay 1d6 life. Target creature you control gets +2/+2 this turn for each life lost this way.	Soul Kiss	
	Choose one — Return target creature to its owners hand; or Return target creature card from your graveyard to your hand.	Soul Manipulation	
	Whenever a creature dies this turn, you may gain 1 life.	Soul Net	
	Destroy target creature if it's white. It can't be regenerated. Draw a card.	Soul Rend	
	Remove 1d6 creature cards in your graveyard from the game. You gain 1d6 life.	Soul Shepherd	
	Chaos deals 3 damage to target nonblack creature. You gain 3 life.	Soul Shred	
	Whenever a creature comes onto the battlefield this turn, you gain 1 life.	Soul Warden	
	Sacrifice all creatures you control. Chaos deals damage to target creature or player equal to the total power of the sacrificed creatures.	Soulblast	
	Pay 3 life. Put a +1/+1 counter on target creature you control	Souldrinker	
	Return all creatures on the battlefield and all creature cards in graveyards to their owners' hands.	Soulquake	
	Target creature you control gets +X/+0 this turn, where X is the number of creature cards in your graveyard. Sacrifice that creature at end of turn.	Soulshriek	
	Create a 3/4 green Elephant creature token.	Southern Elephant	
	Destroy target red permanent.	Southern Paladin	
1	Whenever a creature you control attacks alone this turn, you may search your library for an Aura card that could enchant that creature, put it onto the battlefield attached to that creature, then shuffle your library. Exalted.	Sovereigns of Lost Alara	
	Creatures that come onto the battlefield this turn have trample and haste. At end of turn, sacrifice them.	Spark Elemental	
	Roll 2d6. On a total of 2, 3, or 12, sacrifice a creature. On a total of 7 or 11, stop rolling. Roll 2d6 dice again. On a total of 7, sacrifice a creature. On any other roll, there is no effect.	Spark Fiend	
	Pay 1 life. Permanents can't phase out this turn.	Spatial Binding	
	Sacrifice a permanent. Put onto the battlefield from your hand any card from a set not already in play.	Spatula of the Ages	
	Target land becomes a 1/1 black Skeleton creature this turn. Regenerate it. It's still a land.	Spawning Pool	
	If an opponent no black nontoken permanents, tap all creatures you control and they don't untap this turn.	Spectral Bears	
	Target creature you control has shroud this turn as long as it's untapped.	Spectral Cloak	
	Noncreature artifacts you control have shroud this turn as long as you control an untapped creature.	Spectral Guardian	
	Target creature you control gets +0/+2 and can't be the target of spells this turn.	Spectral Shield	
	Spells are countered this turn unless the caster pays the casting cost of the spell twice.	Spell Blast	
	Draw cards up to your maximum hand size.	Spellbook	
	Whenever target creature you control attacks this turn, draw a card, then discard a card. That creature gets +X/+0 until end of turn, where X is the discarded card's mana value.	Spellbound Dragon	
	Creature spells with power 5 or greater can't be countered this turn.	Spellbreaker Behemoth	
	Create a 6/6 white, blue, and black Sphinx creature token with flying, first strike, vigilance, lifelink, protection from red, and from green.	Sphinx of the Steel Wind	
	Target untapped creature you don't control gets +0/+3 and has reach this turn.	Spider Climb	
	Creatures that come onto the battlefield this turn get four +1/+1 counters on them. At end of turn, remove a +1/+1 counter from a creature you control and put it on a different creature.	Spike Colony	
	Put a creature from your hand onto the battlefield with a +1/+1 counter on it. Remove a +1/+1 counter from a creature you control. Put a +1/+1 counter on target creature.	Spike Drone	
	Creatures that come onto the battlefield this turn get two +1/+1 counters on them. At end of turn, choose one - Remove a +1/+1 counter from a creature you control and put it on a different creature; or Remove a +1/+1 counter from a creature you control and gain 2 life.	Spike Feeder	
	Creatures that come onto the battlefield this turn get three +1/+1 counters on them. This turn, you may remove a +1/+1 counter from a creature you control to prevent all combat damage that would be dealt this turn. At end of turn, remove a +1/+1 counter from a creature you control and put it on a different creature.	Spike Weaver	
	Creatures that come onto the battlefield this turn get two +1/+1 counters on them. At end of turn, remove a +1/+1 counter from a creature you control and put it on a different creature.	Spike Worker	
	Sacrifice a creature. Target player discards a card at random unless they pay 1.	Spiketail Hatchling	
	Target creature you control gets +3/+3 until end of turn. Whenever that creature becomes the target of a spell or ability this turn, destroy that creature. It can't be regenerated. 	Spinal Graft	
	Destroy target blue creature.	Spinal Villain	
	Create a 5/4 green Wurm creature token.	Spined Wurm	
	Black creatures can't block this turn.	Spineless Thug	
	Chaos deals 3 damage to target nonblack creature. You gain 3 life.	Spinning Darkness	
	Regenerate a creature you control. Create a 0/1 blue Starfish creature token.	Spiny Starfish	
	Target creature you control has lifelink this turn.	Spirit Link	
	If there are no Reflection tokens on the battlefield, create a 2/2 white Reflection creature token.	Spirit Mirror	
	Whenever target creature you control attacks this turn, it gains first strike.	Spirit of the Night	
	Put a -0/-2 counter on target tapped creature.	Spirit Shackle	
	Target creature you control gets +0/+2 this turn.	Spirit Shield	
	Target green or blue creature you control gets +0/+1 this turn.	Spirit Weaver	
	Whenever a creature comes onto the battlefield this turn, you gain 4 life.	Spiritual Guardian	
	If you control a Plains, you gain 1d6 life.	Spiritual Sanctuary	
	If you control a Mountain, target creature you control gets +1/+0 this turn.	Spitting Drake	
	Chaos deals damage equal to the number of Mountains you control to target creature.	Spitting Earth	
	When target creature you control becomes blocked this turn, you may pay 1G. If you do, it gains first strike this turn. Otherwise, each creature blocking it gains first strike this turn.	Spitting Slug	
	Sacrifice a land. Chaos deals 1 damage to each creature with flying.	Spitting Spider	
	Chaos deals 1d6 damage to target creature. Chaos deals 1d6 damage to you and each creature you control.	Splintering Wind	
	For each artifact or creature card in an opponent's graveyard, add 1 to your mana pool and you gain 1 life.	Spoils of Evil	
	Search your library for a basic land card and put that card onto the battlefield. Then shuffle your library.	Spoils of Victory	
	Distribute 1d6 +1/+1 counters among any number of target creatures. The number of counters can't be more than the number of artifact and/or creature cards in an opponent's graveyard as you play this effect.	Spoils of War	
	Sacrifice a creature. Chaos deals 3 damage to each creature.	Spontaneous Combustion	
	Tap all creatures. Your creatures don't untap this untap phase. Prevent all combat damage that would be dealt this turn.	Spore Cloud	
	Prevent all combat damage that would be dealt this turn.	Spore Flower	
	Create a 2/3 white Griffin creature token with flying.	Spotted Griffin	
	Destroy all tapped Swamps.	Spreading Algae	
	You gain 8 life.	Spring of Eternal Peace	
	Chaos deals 2 damage to each creature with flying.	Squall	
	Sacrifice a land. Add to your mana pool one mana of any type the sacrificed land could produce.	Squandered Resources	
	Return a creature from your graveyard to your hand.	Squee, Goblin Nabob	
	Prevent the next 1 damage that would be dealt to target creature this turn.	Squee's Toy	
	Create a 1/2 white Human Soldier creature token.	Squire	
